dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
breast_cancer,0,5,5,euclidean,majority,5,0,0.6909090909090909,0.5,0.11764705882352941,0.19047619047619047
breast_cancer,0,5,5,euclidean,majority,5,1,0.7454545454545455,0.6,0.375,0.4615384615384615
breast_cancer,0,5,5,euclidean,majority,5,2,0.6666666666666666,0.4,0.25,0.3076923076923077
breast_cancer,0,5,5,euclidean,majority,5,3,0.6666666666666666,0.375,0.1875,0.25
breast_cancer,0,5,5,euclidean,majority,5,4,0.7777777777777778,0.7,0.4375,0.5384615384615384
breast_cancer,0,sqrt(n),14,euclidean,majority,5,0,0.6909090909090909,0.5,0.058823529411764705,0.10526315789473684
breast_cancer,0,sqrt(n),14,euclidean,majority,5,1,0.7636363636363637,0.8,0.25,0.38095238095238093
breast_cancer,0,sqrt(n),14,euclidean,majority,5,2,0.7407407407407407,0.75,0.1875,0.3
breast_cancer,0,sqrt(n),14,euclidean,majority,5,3,0.7037037037037037,0.5,0.125,0.2
breast_cancer,0,sqrt(n),14,euclidean,majority,5,4,0.7962962962962963,0.7777777777777778,0.4375,0.56
breast_cancer,0,n,217,euclidean,majority,5,0,0.6909090909090909,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,majority,5,1,0.7090909090909091,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,majority,5,2,0.7037037037037037,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,majority,5,3,0.7037037037037037,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,majority,5,4,0.7037037037037037,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,inverse_square,5,0,0.6727272727272727,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,inverse_square,5,1,0.6909090909090909,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,inverse_square,5,2,0.6851851851851852,0.3333333333333333,0.0625,0.10526315789473684
breast_cancer,0,n,217,euclidean,inverse_square,5,3,0.6296296296296297,0.0,0.0,0.0
breast_cancer,0,n,217,euclidean,inverse_square,5,4,0.6666666666666666,0.25,0.0625,0.1
breast_cancer,0,n,217,euclidean,averaged_inverse_square,5,0,0.6545454545454545,0.42857142857142855,0.35294117647058826,0.3870967741935484
breast_cancer,0,n,217,euclidean,averaged_inverse_square,5,1,0.6909090909090909,0.4666666666666667,0.4375,0.45161290322580644
